"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.78896689300648","2.79884708737864","2.74563785855128","2.68236833496892","2.65173000567215","2.69250735421353","2.77129225459344","2.89562512409822","3.02666969117599","3.10703053022842","3.11008516080731","3.04704041240909","2.94340079257041","2.79868578255675","2.64904569456326","2.49701349028292","2.33354434021983","2.1571692482592","1.9996625042187","1.9165223221769","1.93107297335008","2.07375854724807","2.31867665771243","2.5837128698691","2.77333643419867","2.83032789304371","2.81116072766506","2.64824059417996","2.4085610312712","2.20483199801255","2.0991597159778","2.11362660285907","2.2327204886709","2.4081524771666","2.58238140227318","2.74190843535133","2.82556962717799","2.91499061410566","3.00589597810065","3.08356380366512","3.13785224676314","3.1269481086203","3.02621906395491","2.87690046502662","2.75161894821738","2.69032092186149","2.88153189525897","3.16331646838963","3.49497498760647","3.8111794597486","4.08005819207794","4.29465239475921","4.47979993963696","4.62781377899045","4.77184547908232","4.90821860659157","5.02115364771437","5.1117101662378",
"Australia","AUS","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","4.46209519903365","4.48780710630962","4.52735615614547","4.57882283288891","4.63790224553314","4.69944430882667","4.7041094142243","4.7227409418907","4.74429397728531","4.74627359665202","4.71574234294179","4.66347808589639","4.57411725952738","4.48649428670051","4.44790863485528","4.4760726697319","4.52110885114716","4.62471067225716","4.75781427604332","4.87498632125726","4.9485423747079","4.99026188256946","4.99656285054262","4.97217988550506","4.9246604745021","4.85805383694531","4.74541364643803","4.61651851961408","4.48631901314586","4.3795551600765","4.31406440658858","4.29918895107313","4.3196660581002","4.36311000592282","4.41768088216521","4.48035137237881","4.56346472586234","4.64555509379381","4.7344404335856","4.8579637990963","5.04002249902092","5.26748188779811","5.55741351714736","5.8600618925393","6.10238304922844","6.24314222598827","6.25589447688976","6.17467788458552","6.0429884969773","5.92651199817347","5.86461294453185","5.85739827953548","5.89036498337859","5.94267124466758","5.990539423695","6.02358699739159","6.05977363387921","6.09425273371382",
"Austria","AUT","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","6.85227804057542","6.77697439756037","6.66166420287837","6.52106058272953","6.37755380455414","6.24293592634541","6.08240843636228","5.95251527960104","5.814763181289","5.61204750489881","5.31871080165033","4.91274550627102","4.41458717062381","3.92493068265442","3.59393003631438","3.504457406847","3.61740458743533","3.94766762134425","4.39782278528776","4.82147770105778","5.13150926203901","5.31978968092536","5.42134886809853","5.45769225331282","5.46487610740477","5.46473960113047","5.40909647046893","5.33937661113013","5.27575856702723","5.24706532886431","5.27069933967057","5.25488246035673","5.26895117871629","5.31077917332616","5.37626013033152","5.46143442129851","5.64406176139706","5.86176554635401","6.08043266739438","6.24862826025882","6.33680794933311","6.3269272240487","6.23930758718429","6.10284684895146","5.96401441587098","5.85392687395674","5.76079436840816","5.69429694807408","5.67169680776096","5.71273179017525","5.82614924650653","5.98462312105808","6.20571452207757","6.46518365551339","6.73008588117304","6.97929602142044","7.23222826314866","7.47104605431353",
"Azerbaijan","AZE","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.42714486442274","2.38150941247716","2.37003718106545","2.38087444110251","2.39957275593357","2.41719902517106","2.41713208888142","2.43789198205551","2.45007302738818","2.41215862005164","2.30714131230617","2.13208960791872","1.90854454191312","1.68699293378697","1.53045958211397","1.46954913700102","1.47252998885908","1.53577088568956","1.66237504175982","1.85939829555718","2.12379475642169","2.45130676663621","2.8411168508384","3.23476117882165","3.55889568453815","3.78000890342537","3.89473595484985","3.92593351692583","3.92227434616861","3.94343752796459","4.01081704432763","4.03179477654065","4.09710204709934","4.14640922537849","4.0962604690028","3.91103646218884","3.60278492047106","3.19047889740423","2.75041024601434","2.38513961346568","2.15021950393496","2.03278199903355","2.01820189165611","2.09093167338828","2.22971574859607","2.42124137321186","2.64661996022695","2.92324608019961","3.23264636512693","3.5506133441519","3.86112904991855","4.15491745256242","4.43171095485953","4.69428077252479","4.95249549160496","5.2104625883174","5.43008917395809","5.66217923864208",
"Burundi","BDI","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.42355294318845","2.41392632983183","2.40226973959327","2.39121402090692","2.38558605526992","2.3860724820478","2.36810673127617","2.35752967541037","2.35116151551865","2.345303718197","2.33918128654971","2.33039228005811","2.3198050589843","2.30921220802369","2.29818076591595","2.2837623274134","2.25756903060704","2.2321185180387","2.20647602584508","2.180739635178","2.15440656989533","2.12134713335033","2.09309014988947","2.06902631053953","2.0500111722765","2.03650795391008","2.02101704604423","2.01305740228587","2.00914307542498","2.00418226995477","1.99393006983484","1.95387898966263","1.91223960900041","1.86897662498123","1.82433638696263","1.77897250772867","1.7392377167802","1.70365429520283","1.67208676745982","1.64259945988981","1.61441614008588","1.5947566208313","1.57886541849303","1.57963804994208","1.61400820861593","1.68757312100086","1.78375808685228","1.90621043837484","2.03820920353166","2.16106490078679","2.26589320387673","2.32537088393366","2.37419125956305","2.40835889342945","2.42264904239003","2.41562172500315","2.38158060955762","2.33192020705735",
"Belgium","BEL","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","6.41156593425475","6.37711738805317","6.31859470716968","6.24929746459875","6.18737952600851","6.14217576180989","6.08289608147913","6.06535051456879","6.04369983154995","5.94853293739472","5.74673105464725","5.41840518994876","4.97513433526323","4.5337074767241","4.26681366682071","4.26626216131395","4.47849446986933","4.93495620371187","5.5038372915986","5.98939879071716","6.28014055067884","6.38818583052691","6.3323231284501","6.17882790439209","6.03099134080664","5.94677394398886","5.87659407898803","5.85131372603871","5.85150414222176","5.84515138722722","5.81453347413228","5.74751623831654","5.6742903487429","5.59503397773884","5.51060886156344","5.42412390020576","5.31467453844999","5.19284720890083","5.0948019323363","5.07553701701234","5.16449446057655","5.34061430151929","5.62325650262499","5.95213132432675","6.23698479841966","6.42529765269648","6.49305319697237","6.47998008872856","6.42496355142518","6.38792742489096","6.40228028461115","6.43614673609864","6.51267715158045","6.61849320910216","6.73065546079408","6.83344765576537","6.91001593328483","6.97628822133004",
"Benin","BEN","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","3.56684946453165","3.52633962932438","3.4819993934733","3.43476119651278","3.38737791438335","3.33975690944504","3.26419931760797","3.19012877891733","3.118077643058","3.0486705410766","2.98180073345443","2.89764305109574","2.82027166665074","2.74850037844813","2.68229024216803","2.62076108955845","2.54772136485737","2.48244295091273","2.42289725534754","2.36753700582567","2.31530584051551","2.25119093217497","2.19386688392223","2.14320875459124","2.09955361003349","2.0626977912039","2.02288181630856","1.99135422720851","1.96736335857345","1.95084713506797","1.94116870363188","1.92767052561968","1.91991762780369","1.91998447120412","1.93175582806515","1.9559493401521","1.97667936992635","2.01110394873685","2.04605879849291","2.06444885526905","2.05914643771627","2.02406221802088","1.97222270786833","1.9196013028209","1.88741548394798","1.88542150709334","1.89954771855218","1.93689878741753","1.98574063187691","2.03102834224009","2.06523152296625","2.08297529857972","2.09517416105503","2.10561982670991","2.11993572320375","2.14087616780756","2.15839919832995","2.1815549076913",
"Burkina Faso","BFA","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.79322517690318","2.7899009770288","2.78954422631718","2.79202842523311","2.79771849704883","2.80563372482486","2.79720836882312","2.79223470030413","2.78869930943827","2.78486027447355","2.77894857159186","2.75201970193925","2.72691599379624","2.70219665182941","2.67534791039499","2.64478251812938","2.59883564352082","2.55174688702754","2.50289949928926","2.45167133453929","2.3970846953982","2.32807610442436","2.2615464591772","2.19748200196332","2.13611313203319","2.07784200222055","2.01205155481991","1.95297929510443","1.90150948684503","1.85938642180543","1.82683843936744","1.79221102120157","1.76747700678872","1.75051498004151","1.73910257263842","1.73136183671847","1.71478108087427","1.70419442088768","1.69659252398383","1.68845473258459","1.67793180304269","1.65625507217152","1.63605413775514","1.61797948266637","1.60269060823459","1.59057614440827","1.57302018469842","1.55936554652024","1.55187263452293","1.55368465121426","1.56601145649586","1.57987702475893","1.60382248692222","1.63395412586582","1.66549779403622","1.69601803881948","1.71968702283751","1.74357658546329",
"Bangladesh","BGD","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.88523032147398","2.87399365096821","2.86929437068142","2.86891260017376","2.86907911140072","2.86667625970233","2.83590579809163","2.80712342546236","2.78278479128782","2.76719666825696","2.7618917148047","2.75890304106351","2.76862009922087","2.78954306505062","2.81731962578101","2.84711498989885","2.81707764985733","2.79275014216395","2.77298562809902","2.7571076210631","2.74356004783493","2.68972837768521","2.64425988413213","2.60706130512211","2.57766140626681","2.55448027852568","2.54424461574745","2.54246181790735","2.54850598379873","2.56209115079616","2.58206768875651","2.5912075796882","2.6061860239582","2.62687717420981","2.65358965466187","2.68554646492911","2.706401505849","2.73205514260285","2.75824685091081","2.77873435461572","2.78946232774663","2.77516668311049","2.76276567927339","2.74788806207875","2.7216711554957","2.67983152369115","2.60228552132847","2.5144463793944","2.4415746859389","2.4157517903709","2.45124083465797","2.52711235974156","2.65413327683308","2.82056658288536","3.00701053923689","3.19889340656383","3.378344520162","3.56534913442782",
"Bulgaria","BGR","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","5.08862240376602","5.21820353914345","5.33630236842355","5.44312684359944","5.54020575061691","5.62727882127228","5.68757149035337","5.76810904155659","5.82194708481161","5.77711540768372","5.60019658145785","5.28006399539203","4.81735073837529","4.34179826662008","4.05117629051303","4.05538782294894","4.30422842232879","4.82716938645798","5.48240816900442","6.05946605737202","6.43776591126161","6.6181575015223","6.63493301440578","6.54994624263801","6.46102476251484","6.42407019327146","6.41341689189858","6.43323068899533","6.45823793729882","6.45001059025287","6.3897722518538","6.25531305419153","6.08679950566446","5.90694223464173","5.75244396596551","5.64933613297672","5.55799313121597","5.50865436632289","5.5119012337721","5.58623175548473","5.74148881445686","5.96506751668404","6.27665427185092","6.62593920630157","6.93451315503497","7.15260945253074","7.23791849913667","7.23695339391371","7.18026677986722","7.11927065470558","7.08656066269679","7.02371012825417","6.98798451823823","6.97195924893906","6.9617835228984","6.94980086530472","6.91117772386842","6.87651027992118",
"Bahrain","BHR","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.15496423725305","2.00843676302882","1.86159708805226","1.71028336238821","1.5642827118237","1.44242022314114","1.62873291071565","1.77716122864079","1.86607315301064","1.92813715188907","2.01787283659494","2.09507381325205","2.24106019694408","2.40342890205095","2.51632345554997","2.55833775158889","2.47078172892422","2.34909957901648","2.22641146690022","2.13673075190905","2.09212778094695","2.01943384384206","1.97204851114355","1.94618571222348","1.9350859609899","1.93897728126017","1.97009333720893","1.9676033983755","1.91601570541492","1.83443526966162","1.77447592157082","1.79790391708043","1.83248324633999","1.85457091870157","1.85964868050347","1.87413241735073","1.9004239199062","1.91017960558356","1.89465101759808","1.86440212163685","1.84563406291314","1.84284763541367","1.8331732869783","1.82056036393736","1.80700050487335","1.79390163308328","1.97837956711028","2.17803372916309","2.39348672443232","2.63302390342642","2.89657168178406","3.06000841386152","3.29686268092766","3.5880307872616","3.86006592963457","4.03987439165099","3.92058320298604","3.70465704206323",
"Bahamas, The","BHS","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.41504390988927","2.4165416523578","2.42705161974481","2.4602377635969","2.52861202857362","2.62373634079355","2.71372876636035","2.81886872771777","2.91603949281833","2.97314578005115","2.9682787559455","2.89607384930185","2.77407369416806","2.65150666517307","2.56613494501139","2.5301425903738","2.48189515022275","2.44088403482561","2.40393791752474","2.36478874619175","2.32455846776121","2.36297722048848","2.40201005025126","2.43660359812583","2.46572942670696","2.4851867754401","2.48063452996064","2.47033200003313","2.46743731683491","2.48725561593188","2.53928060269577","2.64543727703736","2.77758831063517","2.91744812598613","3.04259634888438","3.14136882184219","3.16744023056734","3.17730617226136","3.1861536510799","3.21225150770605","3.26887026520373","3.40309877865286","3.54983589566419","3.6952536952537","3.83253555059722","3.97744950406332","4.0595828226844","4.15906712513081","4.27701084659811","4.41220564153424","4.55532437197753","4.67739685904767","4.8017848703661","4.93224462372874","5.07365325491244","5.23372185752235","5.42143513490936","5.62905183769404",
"Bosnia and Herzegovina","BIH","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","3.44496355844962","3.49460901090084","3.55185308933116","3.59439193795022","3.58997692861872","3.52276776518018","3.39536309871999","3.23173379396908","3.03540495096679","2.81490960396364","2.58058339909234","2.33794728324763","2.09067626847884","1.87359765928164","1.73620763729182","1.70479779682649","1.74562295472245","1.87472047407597","2.08438941145199","2.36233640116298","2.69642407058103","3.06925703083233","3.49154019591125","3.92085976733391","4.29974095429097","4.59565221589308","4.83077979024868","4.98586860324481","5.0949008473226","5.20876010196328","5.35460463517139","5.50077560394897","5.72706655032251","5.98909907976923","6.17373968058974","6.19268146803312","5.86587461523728","5.32927459027532","4.7175160130703","4.23548158928121","4.00341696425434","3.98499633978065","4.19170231635357","4.54837526479271","4.93657891662804","5.28428655322369","5.61214405391708","5.91819541020955","6.2010560374903","6.46455293326834","6.70763295764185","6.89917683318989","7.05596107055961","7.18787860979006","7.31295956670037","7.44196042977891","7.55161401136699","7.67737172774261",
"Belarus","BLR","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","4.13119322909924","4.1565175494262","4.16433930906332","4.15631984512751","4.13387831396488","4.09733778633517","4.04857357784478","4.00066121257984","3.93185075679877","3.80683807131824","3.61131880210031","3.38138757894666","3.07846388756629","2.77133904880136","2.56588257095046","2.52461829487833","2.62138931008776","2.86722425927622","3.22331146436549","3.64012146185219","4.08736199715177","4.51523029681342","4.97952766567906","5.42281810081589","5.76496395571176","5.96117039936168","5.98302433903527","5.85890284032197","5.66786256744963","5.5268103265063","5.49894749496288","5.52713274607839","5.67441208419483","5.84510600790562","5.89745514380651","5.760848991129","5.46400455994698","4.99447475464398","4.47322210322964","4.08249669932152","3.92701704598463","3.95374813414345","4.19349953391538","4.56890630597389","4.95841327944976","5.28919779323784","5.53432981449198","5.72742980318439","5.89259188605433","6.07316147093659","6.29143614728593","6.50645305255427","6.75588783144782","7.01324725995042","7.23332298185923","7.38563415528367","7.42314025905251","7.40851112796197",
